rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
1,245000000,T-Series,Music,228000000000.0,108400000.0,India
3,166000000,MrBeast,Entertainment,28368841870.0,64700000.0,United States of America
4,162000000,Cocomelon - Nursery Rhymes,Education,164000000000.0,94800000.0,United States of America
5,159000000,SET India,Shows,148000000000.0,87500000.0,India
7,112000000,ýýý Kids Diana Show,People & Blogs,93247040539.0,35100000.0,United States of America
8,111000000,PewDiePie,Gaming,29058044447.0,1900000.0,Japan
9,106000000,Like Nastya Vlog,People & Blogs,90479060027.0,2300000.0,Russia
10,98900000,Vlad and Niki,Entertainment,77180169894.0,27900000.0,United States of America
11,96700000,Zee Music Company,Music,57856289381.0,38600000.0,India
12,96000000,WWE,Sports,77428473662.0,34300000.0,United States of America
14,89800000,BLACKPINK,People & Blogs,32144597566.0,23900000.0,South Korea
16,83000000,Sony SAB,Shows,101000000000.0,79600000.0,India
17,80100000,5-Minute Crafts 2.0,Howto & Style,26236790209.0,0.05,United Kingdom
18,75600000,BANGTANTV,Music,20826993957.0,8100000.0,South Korea
20,71600000,Justin Bieber,Music,30608119724.0,8500000.0,Canada
21,71300000,HYBE LABELS,Music,28634566938.0,28700000.0,South Korea
22,70500000,Zee TV,Entertainment,73139054467.0,81900000.0,India
23,68200000,Pinkfong Baby Shark - Kids' Songs & Stories,Education,38843229963.0,22700000.0,United States of America
25,65900000,ChuChu TV Nursery Rhymes & Kids Songs,Education,45757850229.0,20200000.0,India
26,65600000,Shemaroo Filmi Gaane,Music,28648024439.0,12200000.0,India
27,64600000,Colors TV,Shows,61510906457.0,57000000.0,India
28,61000000,T- SERIES BHAKTI SAGAR,Music,29533230328.0,0.48,India
29,59500000,Dude Perfect,Sports,16241549158.0,6800000.0,United States of America
30,59500000,Movieclips,Film & Animation,59316472754.0,5500000.0,United States of America
31,59300000,Tips Official,Music,33431802698.0,20300000.0,India
32,58400000,El Reino Infantil,Music,57271630846.0,29400000.0,Argentina
33,58000000,Wave Music,Music,40602020243.0,11100000.0,India
34,57600000,Aaj Tak,News & Politics,25307753534.0,22100000.0,India
35,57200000,Sony Music India,Music,28837144516.0,12400000.0,India
36,56900000,EminemMusic,Music,27073872856.0,12500000.0,United States of America
37,56400000,Marshmello,Entertainment,14696003229.0,5400000.0,United States of America
38,54600000,YRF,Film & Animation,35302243691.0,24600000.0,India
40,53500000,Ed Sheeran,Music,30367676736.0,9700000.0,United Kingdom
41,53300000,Infobells - Hindi,Education,30516172739.0,39200000.0,India
42,52900000,Taylor Swift,Music,29884657286.0,25400000.0,United States of America
43,52700000,Ariana Grande,Music,24004842608.0,7700000.0,United States of America
44,52200000,BillionSurpriseToys  - Nursery Rhymes & Cartï,Education,9877365274.0,12800000.0,United States of America
45,48100000,JuegaGerman,Gaming,14631710289.0,3200000.0,Chile
46,47900000,Billie Eilish,Music,13626331061.0,7000000.0,United States of America
47,47500000,Get Movies,Entertainment,30788679536.0,14700000.0,Russia
48,47400000,Shemaroo,Entertainment,22519705183.0,11200000.0,India
50,46600000,SonyMusicIndiaVEVO,Music,27286058807.0,15100000.0,United States of America
51,46300000,aefour,Gaming,22936630813.0,5.0,Cuba
53,46100000,Fernanfloo,Gaming,10323391593.0,1600000.0,El Salvador
54,45500000,Voot Kids,Entertainment,21388725229.0,11200000.0,India
55,45200000,Felipe Neto,Entertainment,16602198273.0,6300000.0,Brazil
56,44700000,Vocïïï,Entertainment,7828610828.0,2300000.0,Brazil
57,44600000,HAR PAL GEO,Entertainment,41139050371.0,64200000.0,Pakistan
59,44200000,Katy Perry,Music,25458952022.0,6400000.0,United States of America
60,44200000,whinderssonnunes,Comedy,4274709210.0,1300000.0,Brazil
61,44200000,ABS-CBN Entertainment,People & Blogs,50292540392.0,8500000.0,Philippines
62,43700000,alanwalker,Music,12884264778.0,1.0,Thailand
64,43500000,Shakira,People & Blogs,27568757295.0,17000000.0,Colombia
65,43200000,ýýýýýýýý ýý ýýýýýýýýýýýýýý,Film & Animation,36458726976.0,14600000.0,Russia
66,43200000,ARY Digital HD,Entertainment,37939780685.0,55200000.0,Pakistan
67,42500000,Speed Records,Music,26820902622.0,7700000.0,India
68,42400000,Masha and The Bear,Shows,24519022988.0,32200000.0,United States of America
69,42400000,Like Nastya Show,Entertainment,19547696190.0,2600000.0,United States of America
70,41900000,Rihanna,Entertainment,22477745835.0,8800000.0,Barbados
71,41400000,Ishtar Music,Trailers,17608931161.0,8700000.0,India
72,41300000,Kimberly Loaiza,People & Blogs,5603111948.0,6600000.0,Mexico
73,40900000,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,39450824833.0,4700000.0,United States of America
77,39700000,shfa2 - ïï,People & Blogs,23884824160.0,11900000.0,United Arab Emirates
79,39200000,CarryMinati,Comedy,3294013141.0,3800000.0,India
80,39200000,XXXTENTACION,Music,10507474316.0,2800000.0,United States of America
